===================Title===================
List of ghost towns in Kansas
===================Table===================
|     | Town name                        | County                         | Established                           | Disestablished                                     | Current Status                                                                                                                                                                                                                                                               | Remarks                                                                                                                                                                                                                                                             |
| 157 | Marshall                         | Sedgwick County                | 1872                                  | 1883                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | The entire town of Marshall was moved to Cheney in 1883.                                                                                                                                                                                                            |
| 158 | Waterloo                         | Kingman County                 | nan                                   | nan                                                | A small population (approx. 20) remains as well as some houses and other buildings.                                                                                                                                                                                          | nan                                                                                                                                                                                                                                                                 |
| 159 | Castleton                        | Reno County                    | 1872                                  | Post office closed in 1957                         | A few homes and abandoned buildings remain.                                                                                                                                                                                                                                  | Castleton was used as the setting of Sevillinois for the 1952 movie Wait Till the Sun Shines, Nellie.                                                                                                                                                               |
| 160 | Lerado                           | Reno County                    | 1886                                  | 1887                                               | An old schoolhouse, church, and abandoned grocery store remain but most of Lerado is now farmland.                                                                                                                                                                           | nan                                                                                                                                                                                                                                                                 |
| 161 | Old Kiowa                        | Barber County                  | 1872                                  | 1884                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | Old Kiowa was abandoned when the railroad was built four miles to the south and a new Kiowa was established.                                                                                                                                                        |
| 162 | Lake City                        | Barber County                  | 1873                                  | nan                                                | A small population (approx. 30) remains. The United Methodist Church is open.                                                                                                                                                                                                | nan                                                                                                                                                                                                                                                                 |
| 163 | Sun City                         | Barber County                  | 1871                                  | nan                                                | 2008 estimated population of 72.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 164 | Comanche City                    | Comanche County                | 1885                                  | 1905                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 165 | Hopewell                         | Pratt County                   | 1901                                  | 1920s                                              | A small population (approx. 10) remains.                                                                                                                                                                                                                                     | nan                                                                                                                                                                                                                                                                 |
| 166 | Byers                            | Pratt County                   | 1914                                  | nan                                                | 2008 estimated population of 49.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 167 | Zenith                           | Stafford County                | 1886                                  | nan                                                | A small population (approx. 20) still remains.                                                                                                                                                                                                                               | nan                                                                                                                                                                                                                                                                 |
| 168 | Trousdale                        | Edwards County                 | 1916                                  | nan                                                | A small resident population of about 40 remains.                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 169 | Devizes                          | Norton County                  | 1873                                  | 1930s                                              | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 170 | Kanona                           | Decatur County                 | 1880                                  | nan                                                | Some ruins and abandoned buildings remain.                                                                                                                                                                                                                                   | The site of Kanona is currently on private property.                                                                                                                                                                                                                |
| 171 | Burntwood City                   | Rawlins County                 | 1860s                                 | nan                                                | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 172 | Blakeman                         | Rawlins County                 | nan                                   | nan                                                | Little remains of the townsite.                                                                                                                                                                                                                                              | nan                                                                                                                                                                                                                                                                 |
| 173 | Ludell                           | Rawlins County                 | 1884                                  | nan                                                | A small resident population remains along with some ruins and abandoned buildings.                                                                                                                                                                                           | nan                                                                                                                                                                                                                                                                 |
| 174 | Eustis                           | Sherman County                 | 1885                                  | 1887                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | The entire was moved in 1887 to Goodland.                                                                                                                                                                                                                           |
| 175 | Itasca                           | Sherman County                 | 1885                                  | 1887                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 176 | California                       | Lane County                    | 1879                                  | 1880s                                              | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 177 | Vega                             | Wallace County                 | 1880s                                 | Post office closed in 1908                         | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 178 | Pond City                        | Wallace County                 | 1866                                  | nan                                                | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 179 | Pierceville                      | Finney County                  | 1872                                  | nan                                                | A small population remains along U.S. 50.                                                                                                                                                                                                                                    | nan                                                                                                                                                                                                                                                                 |
| 180 | Englewood                        | Clark County                   | 1884                                  | nan                                                | 2008 estimated population of 95.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 181 | Sitka                            | Clark County                   | 1909                                  | Post office closed in 1964                         | A small population and some abandoned buildings and ruins still remain.                                                                                                                                                                                                      | nan                                                                                                                                                                                                                                                                 |
| 182 | Arkalon                          | Seward County                  | 1888                                  | Post office closed in 1929                         | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 183 | Woodsdale                        | Stevens County                 | 1885                                  | late 1880s                                         | Nothing remains of the townsite.                                                                                                                                                                                                                                             | Battled with Hugoton for county seat of Stevens County.                                                                                                                                                                                                             |
| 184 | Voorhees                         | Stevens County                 | 1887                                  | late 1890s                                         | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 185 | Goguac                           | Stanton County                 | 1889                                  | 1890s                                              | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 186 | Borders                          | Stanton County                 | 1887                                  | 1888                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 187 | Pardee                           | Atchison County                | 1855                                  | 1888                                               | Nothing remains of the townsite but the Pardee Cemetery.                                                                                                                                                                                                                     | Named for Pardee Butler, a farmer and preacher who was sent adrift on a raft in the Missouri River by pro-slavery men.                                                                                                                                              |
| 188 | Port William                     | Atchison County                | 1856                                  | nan                                                | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 189 | Fort Cavagnial                   | Leavenworth County             | 1744                                  | 1764                                               | Nothing remains of the old fort.                                                                                                                                                                                                                                             | Cavagnial is an old French fort and trading post. When Lewis and Clark came through the area in 1804, they saw no sign of the old fort. The exact location is unknown.                                                                                              |
| 190 | Delaware City                    | Leavenworth County             | 1854                                  | 1870s                                              | Some ruins and street grades are all that remain.                                                                                                                                                                                                                            | nan                                                                                                                                                                                                                                                                 |
| 191 | Springdale                       | Leavenworth County             | 1860                                  | 1920s                                              | The Kansas City Metro area has grown into the area of Springdale.                                                                                                                                                                                                            | nan                                                                                                                                                                                                                                                                 |
| 192 | Owl City                         | Jefferson County               | nan                                   | 1930s                                              | Nothing remains of the site and it is rumored that it is now under the waters of Perry Lake.                                                                                                                                                                                 | Owl City was mainly a section house on the Leavenworth and Topeka Railroad.                                                                                                                                                                                         |
| 193 | Granada                          | Nemaha County                  | 1855                                  | nan                                                | Some ruins and abandoned building remain on what used to be Main Street.                                                                                                                                                                                                     | nan                                                                                                                                                                                                                                                                 |
| 194 | Richmond                         | Nemaha County                  | 1855                                  | 1860s                                              | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 195 | Guittard Station                 | Marshall County                | 1857                                  | 1900                                               | Some abandoned buildings remain.                                                                                                                                                                                                                                             | Guittard Station was a major stop for the Pony Express.                                                                                                                                                                                                             |
| 196 | Marietta                         | Marshall County                | 1881                                  | 1920s                                              | A small population remains as does some buildings.                                                                                                                                                                                                                           | nan                                                                                                                                                                                                                                                                 |
| 197 | Stockdale                        | Riley County                   | nan                                   | 1957                                               | The townsite is under the waters of the Tuttle Creek Reservoir.                                                                                                                                                                                                              | nan                                                                                                                                                                                                                                                                 |
| 198 | Cleburne                         | Riley County                   | 1860                                  | 1960                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | Originally called Big Timber until 1878.                                                                                                                                                                                                                            |
| 199 | Garrison                         | Pottawatomie County            | nan                                   | nan                                                | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 200 | Aubry                            | Johnson County                 | 1857                                  | 1888                                               | Nothing remains but Aubry Township is named for the town.                                                                                                                                                                                                                    | Aubry was located around 192nd Street and Metcalf.                                                                                                                                                                                                                  |
| 201 | Oxford                           | Johnson County                 | mid-1850s                             | 1871                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | Not to be confused with Oxford, Kansas in Sumner County, an existing city with a population of 1,049 as of 2010.                                                                                                                                                    |
| 202 | Sunflower Village/Clearview City | Johnson County                 | 1943                                  | 1959                                               | Old residences, streets and other buildings remain in and around Clearview City.                                                                                                                                                                                             | Sunflower Village was established exclusively for the Sunflower Army Ammunition Plant, the plant and town remain just off of K-10 south of DeSoto.                                                                                                                  |
| 203 | Tontzville                       | Miami County                   | 1866                                  | 1874                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 204 | Stanton                          | Miami County                   | 1855                                  | nan                                                | Several houses and businesses remain.                                                                                                                                                                                                                                        | William Quantrill lived in Stanton during the winter of 1859-60.                                                                                                                                                                                                    |
| 205 | Hyatt                            | Anderson County                | 1856                                  | nan                                                | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 206 | Lone Elm                         | Anderson County                | 1869                                  | nan                                                | 2008 estimated population of 26.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 207 | Ransomville                      | Franklin County                | 1878                                  | 1914                                               | The Ransom house still stands as does some other houses and buildings.                                                                                                                                                                                                       | nan                                                                                                                                                                                                                                                                 |
| 208 | Peoria                           | Franklin County                | 1857                                  | 1880s                                              | A small population remains and Peoria Township is named for it.                                                                                                                                                                                                              | nan                                                                                                                                                                                                                                                                 |
| 209 | Stull                            | Douglas County                 | 1857                                  | nan                                                | A couple of churches, some houses and the old schoolhouse remain.                                                                                                                                                                                                            | Originally called Deer Creek Community until 1899 when the post office opened, the post office closed in 1903.                                                                                                                                                      |
| 210 | Ottumwa                          | Coffey County                  | 1855                                  | nan                                                | A small population remains on the north edge of the John Redmond Reservoir.                                                                                                                                                                                                  | nan                                                                                                                                                                                                                                                                 |
| 211 | Havana                           | Osage County                   | 1858                                  | early 1870s                                        | Ruins of the Havana Stage Station and hotel remain and a sign has been posted on the site.                                                                                                                                                                                   | Not to be confused with Havana in Montgomery County.                                                                                                                                                                                                                |
| 212 | Superior                         | Osage County                   | 1859                                  | nan                                                | The site is now part of Superior Game Farms just south of Burlingame.                                                                                                                                                                                                        | nan                                                                                                                                                                                                                                                                 |
| 213 | Kansapolis/Rochester             | Shawnee County                 | 1854                                  | late 1850s/early 1860s                             | Nothing remains of the townsite, only Rochester Cemetery and Rochester Road in North Topeka mark the site.                                                                                                                                                                   | nan                                                                                                                                                                                                                                                                 |
| 214 | Wanamaker                        | Shawnee County                 | 1891                                  | 1917                                               | Nothing remains of the townsite however Wanamaker Road, Topeka's main western edge road, bears its name.                                                                                                                                                                     | After a tornado destroyed the town in 1917, it was not rebuilt.                                                                                                                                                                                                     |
| 215 | Wilmington                       | Wabaunsee County               | 1856                                  | 1872                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | The site is currently maintained as a hiking trail by a local chapter of Boy Scouts.                                                                                                                                                                                |
| 216 | Alida                            | Geary County                   | 1858                                  | 1967                                               | The site of Alida lies underneath the waters of Milford Lake.                                                                                                                                                                                                                | nan                                                                                                                                                                                                                                                                 |
| 217 | Columbia                         | Lyon County                    | 1855                                  | 1857                                               | Nothing remains of the townsite.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
| 218 | Agnes City                       | Lyon County                    | 1858                                  | early 1860s                                        | Only a small cemetery marks the townsite.                                                                                                                                                                                                                                    | Was the county seat of Lyon County until losing to Americus who then lost it to Emporia.                                                                                                                                                                            |
| 219 | White Rock                       | Republic County                | 1866                                  | nan                                                | Nothing remains of the townsite.                                                                                                                                                                                                                                             | Founded by Thomas Lovewell. Most of the town lies under the water of the Lovewell Reservoir.                                                                                                                                                                        |
| 220 | Reamsville                       | Smith County                   | 1880                                  | nan                                                | A small population remains.                                                                                                                                                                                                                                                  | An Old Dutch Mill, built in 1882, was moved to Smith Center in 1938.                                                                                                                                                                                                |
| 221 | Harlan                           | Smith County                   | 1877                                  | nan                                                | A small population remains as well as the ruins of Main Street and a high school gymnasium.                                                                                                                                                                                  | Harlan was home to Gould College which lasted from 1881 until 1891.                                                                                                                                                                                                 |
